symbol,vintage,p,q,distribution,valid,order,n_train,loglikelihood,n_parameters,BIC,AIC,persistence,selected,evidence
SPY,1996-06,2,1,normal,True,4,843,-798.8986362465398,4,1624.745140325087,1605.7972724930796,0.9765671746306457,False,EXPOSED_HISTORY
SPY,1996-06,2,1,t,True,5,843,-771.0777442501736,5,1575.8403232903565,1552.1554885003472,0.9749043981971609,False,EXPOSED_HISTORY
SPY,1996-07,1,1,normal,True,0,863,-814.6663160174935,3,1649.6138761082373,1635.332632034987,0.9750405662122973,False,EXPOSED_HISTORY
SPY,1996-07,1,1,t,True,1,863,-786.7347764939672,4,1600.511211752268,1581.4695529879343,0.9740295105893056,True,EXPOSED_HISTORY
SPY,1996-07,1,2,normal,True,2,863,-814.666316016858,4,1656.3742907980497,1637.332632033716,0.9750410583340664,False,EXPOSED_HISTORY
SPY,1996-07,1,2,t,True,3,863,-786.7347764902514,5,1607.2716264359199,1583.4695529805028,0.9740288013170747,False,EXPOSED_HISTORY
SPY,1996-07,2,1,normal,True,4,863,-814.4218183859622,4,1655.8852955362581,1636.8436367719244,0.9736150763926624,False,EXPOSED_HISTORY
SPY,1996-07,2,1,t,True,5,863,-786.6143949839063,5,1607.0308634232297,1583.2287899678126,0.9727682923516864,False,EXPOSED_HISTORY
SPY,1996-08,1,1,normal,True,0,885,-858.3600864711116,3,1737.076935877247,1722.7201729422231,0.980870081144346,False,EXPOSED_HISTORY
SPY,1996-08,1,1,t,True,1,885,-825.2365797290674,4,1677.6155100381666,1658.473159458135,0.9786620258319768,True,EXPOSED_HISTORY
SPY,1996-08,1,2,normal,True,2,885,-858.3600864710827,4,1743.862523522197,1724.7201729421654,0.980870379622643,False,EXPOSED_HISTORY
SPY,1996-08,1,2,t,True,3,885,-825.236579729207,5,1684.4010976834538,1660.473159458414,0.9786621072164472,False,EXPOSED_HISTORY
SPY,1996-08,2,1,normal,True,4,885,-857.1452963707429,4,1741.4329433215175,1722.2905927414859,0.9757729607019818,False,EXPOSED_HISTORY
SPY,1996-08,2,1,t,True,5,885,-824.5659387546623,5,1683.0598157343643,1659.1318775093246,0.9750065224016936,False,EXPOSED_HISTORY
SPY,1996-09,1,1,normal,True,0,907,-884.2701291685269,3,1788.970685687399,1774.5402583370537,0.9780873118130075,False,EXPOSED_HISTORY
SPY,1996-09,1,1,t,True,1,907,-851.0865008522868,4,1729.413571505034,1710.1730017045736,0.977901918708077,True,EXPOSED_HISTORY
SPY,1996-09,1,2,normal,True,2,907,-884.2701291688256,4,1795.7808281381117,1776.5402583376513,0.9780873339757066,False,EXPOSED_HISTORY
SPY,1996-09,1,2,t,True,3,907,-851.0865008532896,5,1736.223713957155,1712.1730017065793,0.9779024214693164,False,EXPOSED_HISTORY
SPY,1996-09,2,1,normal,True,4,907,-883.2606235855924,4,1793.7618169716452,1774.5212471711848,0.9726597660872597,False,EXPOSED_HISTORY
SPY,1996-09,2,1,t,True,5,907,-850.5903487397446,5,1735.231409730065,1711.1806974794893,0.9748571201505172,False,EXPOSED_HISTORY
SPY,1996-10,1,1,normal,True,0,927,-904.5020859657575,3,1829.5000326282125,1815.004171931515,0.975352832962103,False,EXPOSED_HISTORY
SPY,1996-10,1,1,t,True,1,927,-870.7043021539403,4,1768.736418570144,1749.4086043078805,0.9756252595523861,True,EXPOSED_HISTORY
SPY,1996-10,1,2,normal,True,2,927,-904.5020859658741,4,1836.3319861940117,1817.0041719317483,0.9753528978406266,False,EXPOSED_HISTORY
