cash_mode,offset,cost_bps,period,rule,target,exposure_error,dynamic_mean,static_mean
PROXY,1,0,2022,VOL,0.5661770236256416,6.437517185986508e-12,0.5653008216704107,0.5653008216639732
PROXY,1,0,2023_PLUS,VOL,0.8368274762251531,3.858691144387194e-12,0.8370827913484818,0.8370827913446232
PROXY,1,0,2024_PLUS,VOL,0.8315414652097388,6.235012506294879e-13,0.8316736000053375,0.831673600004714
PROXY,1,0,EX_MAJOR_SHOCKS,VOL,0.8797865172309685,6.1132210404934995e-12,0.8799235258742815,0.8799235258681682
PROXY,1,0,ALL,CORE_VOL,0.9161632320683566,3.2135405447775156e-12,0.916231402634094,0.9162314026308804
PROXY,1,0,GFC,CORE_VOL,0.854868189249828,5.786482404346316e-12,0.8549312506872279,0.8549312506814414
PROXY,1,0,2011,CORE_VOL,0.8966800604466698,9.056089211867402e-13,0.8965218593016183,0.8965218593025239
PROXY,1,0,2015_2016,CORE_VOL,0.9505359511458664,4.2743586448068527e-13,0.950530958497956,0.9505309584983834
PROXY,1,0,2018Q4,CORE_VOL,0.8158157798679895,2.148503597254603e-12,0.8145090998208147,0.8145090998229632
PROXY,1,0,COVID,CORE_VOL,0.7523207754202303,4.330757974457811e-12,0.7523031536593902,0.7523031536550594
PROXY,1,0,2022,CORE_VOL,0.7831808321570861,5.4963811280117625e-12,0.7825461469848446,0.782546146990341
PROXY,1,0,2023_PLUS,CORE_VOL,0.9185062122196541,1.9551027463649007e-13,0.9186440983103814,0.9186440983105769
PROXY,1,0,2024_PLUS,CORE_VOL,0.91588026201498,1.3481438188023276e-12,0.915950573048854,0.9159505730502021
PROXY,1,0,EX_MAJOR_SHOCKS,CORE_VOL,0.9399286160405609,1.3418155475619642e-12,0.9400008619119317,0.9400008619105898
PROXY,1,1,ALL,VOL,0.8322772743485984,2.022382261657185e-12,0.8324052890347656,0.832405289036788
PROXY,1,1,GFC,VOL,0.7097334858044633,2.6261215424483453e-12,0.7098541266473031,0.709854126644677
PROXY,1,1,2011,VOL,0.7932646647750516,7.132294754796931e-12,0.792991636102024,0.7929916360948916
PROXY,1,1,2015_2016,VOL,0.901030478948087,6.574518707225252e-12,0.9010220589652573,0.9010220589718319
PROXY,1,1,2018Q4,VOL,0.6314395479639643,1.9518830995934877e-12,0.6294512992502647,0.6294512992522165
PROXY,1,1,COVID,VOL,0.5042489877450862,4.894973315572315e-13,0.5043158335099226,0.5043158335094331
PROXY,1,1,2022,VOL,0.5661770236256416,6.437406163684045e-12,0.5653008216704106,0.5653008216639732
PROXY,1,1,2023_PLUS,VOL,0.8368274762251531,3.858691144387194e-12,0.8370827913484818,0.8370827913446232
PROXY,1,1,2024_PLUS,VOL,0.8315414652097388,6.235012506294879e-13,0.8316736000053375,0.831673600004714
PROXY,1,1,EX_MAJOR_SHOCKS,VOL,0.8797865172309685,6.1132210404934995e-12,0.8799235258742815,0.8799235258681682
