period,model,n,first,last,PINBALL,FZ0,BRIER2,BRIER5,DD_MSE,DD_MAE,var_hit_rate,ES_moment,actual_p2,pred_p2,actual_p5,pred_p5,auc2,auc5,actual_D,pred_D,fallback_fraction,max_impossible_mass,q_below_minus1,e_below_minus1
EX_MAJOR_SHOCKS,HS,5501,2000-05-01,2026-08-20,0.0025853699632642146,-2.9950068231791502,0.10323860153628982,0.014661136650957108,0.00022730582272323388,0.011756374741864957,0.029630976186147972,0.1647325560450425,0.1150699872750409,0.15931318428069577,0.014724595528085803,0.02664369163373714,0.5622344589095243,0.5050123001230012,0.014038256152687426,0.018440920674505878,0.0,0.0,0,0
EX_MAJOR_SHOCKS,FHS,5501,2000-05-01,2026-08-20,0.0023211079476945728,-3.183163493378311,0.09887324722981822,0.01435836913490457,0.00018168562103851245,0.009708175777824495,0.04508271223413925,0.016248033131863817,0.1150699872750409,0.12545529063474214,0.014724595528085803,0.01913241922308957,0.6575529199946518,0.8138023324677691,0.014038256152687426,0.01548062104049263,0.0,0.0,0,0
NONOVERLAP5_0,HS,1323,2000-05-05,2026-08-19,0.002892206098733763,-2.8771836369191925,0.11970314016676371,0.020067585499955746,0.0003279482534123117,0.01282638707023085,0.042328042328042326,0.04373433390479435,0.13907785336356765,0.15829695245633457,0.02040816326530612,0.026432748312049704,0.5336393480169485,0.4217249657064472,0.016414736920508093,0.018351339250746942,0.0,0.0,0,0
NONOVERLAP5_0,FHS,1323,2000-05-05,2026-08-19,0.0024602801453915677,-3.1062178140910457,0.11432748539947864,0.01849005542671807,0.0002416659208257012,0.010749420599010873,0.044595616024187455,0.01818629163742513,0.13907785336356765,0.13880547902063506,0.02040816326530612,0.0265096658996356,0.6692488643737833,0.8640832190214907,0.016414736920508093,0.017147943516939882,0.0,0.0,0,0
NONOVERLAP5_1,HS,1324,2000-05-01,2026-08-20,0.0030179134961426605,-2.832340784449171,0.11693172599644139,0.02578849792406672,0.0003345370097638816,0.012931174845117632,0.04078549848942598,-0.0011353131763150838,0.13444108761329304,0.15829839695388478,0.026435045317220542,0.026429180846906142,0.5156136635488362,0.4288152499168791,0.016414843038909378,0.018351691174121252,0.0,0.0,0,0
NONOVERLAP5_1,FHS,1324,2000-05-01,2026-08-20,0.0025956993858704674,-3.0792322696757535,0.11126883295636578,0.024040114658100586,0.0002472414734587671,0.010891210493926672,0.04758308157099698,-0.007579272996419068,0.13444108761329304,0.13903035608824274,0.026435045317220542,0.0266803255824381,0.6670711022216993,0.8300454394325613,0.016414843038909378,0.01716096748288234,0.0,0.0,0,0
NONOVERLAP5_2,HS,1323,2000-05-02,2026-08-14,0.0030286484314069875,-2.831671160897625,0.12227552953973102,0.025052060521209493,0.00031749283541592345,0.012836475543079222,0.04383975812547241,-0.0018094888395679574,0.1421012849584278,0.15830782355801595,0.025699168556311415,0.026431589988982724,0.49777861092885933,0.49503719253411216,0.016346624086072167,0.018352375795324883,0.0,0.0,0,0
NONOVERLAP5_2,FHS,1323,2000-05-02,2026-08-14,0.0026913582004012954,-3.0289947356485336,0.11734857935547449,0.02419239797114965,0.00023884374904714061,0.010738514797832931,0.050642479213907785,-0.0618183758694652,0.1421012849584278,0.13821031811015624,0.025699168556311415,0.026367618906924413,0.6563267410254007,0.8050814584949574,0.016346624086072167,0.01708525423146356,0.0,0.0,0,0
NONOVERLAP5_3,HS,1323,2000-05-03,2026-08-17,0.003147551359209387,-2.7902450451306327,0.11623646609643366,0.025086495221306522,0.000324867724410798,0.012942616007777278,0.04686318972033258,-0.043259124725191334,0.13378684807256236,0.1583058986015316,0.025699168556311415,0.026431890800465603,0.5315319312568403,0.42989321407383746,0.016149965813515715,0.01835192066349269,0.0,0.0,0,0
NONOVERLAP5_3,FHS,1323,2000-05-03,2026-08-17,0.0027525575081968415,-3.0189723120381036,0.11127454896569576,0.0234259222759978,0.0002515585697300068,0.010896852299082842,0.055933484504913075,-0.07144377127809125,0.13378684807256236,0.13838033412089565,0.025699168556311415,0.02636256085662393,0.6658803403634356,0.8016131976452334,0.016149965813515715,0.017078859851379708,0.0,0.0,0,0
NONOVERLAP5_4,HS,1323,2000-05-04,2026-08-18,0.0030240860990564783,-2.829316425565693,0.12201529944921037,0.02223193362782957,0.00035020657626336606,0.012989349772079592,0.04686318972033258,-0.004219854143655834,0.1421012849584278,0.15829496013856503,0.022675736961451247,0.026428885423761043,0.5246344549629769,0.4167182263469966,0.016325980042161462,0.018350952243435865,0.0,0.0,0,0
