period,block,contrast,family,point,valid_fraction,ci_low,ci_high,sim_low,sim_high,candidate,reference,score,n,fractional_gain
ALL,42,FHS|HS|DD_MSE,FHS_VALUE,8.061889677019056e-05,1.0,4.179340325906394e-05,0.00013554920752039217,2.425704998581379e-05,0.00013698074355456732,FHS,HS,DD_MSE,6616,0.24355351825861354
PRE2020,42,FHS|HS|PINBALL,FHS_VALUE,0.00043650158410491456,1.0,0.00020412995047984747,0.000734896146917866,0.00011990632823185318,0.0007530968399779759,FHS,HS,PINBALL,4949,0.14712704393283252
PRE2020,42,FHS|HS|FZ0,FHS_VALUE,0.24666246175456744,1.0,0.11888220049549321,0.39616527308743776,0.08437876436423428,0.4089461591449006,FHS,HS,FZ0,4949,
PRE2020,42,FHS|HS|BRIER2,FHS_VALUE,0.006290882538839626,1.0,0.003288093019463144,0.009531541222163976,0.0026280250499638824,0.009953740027715369,FHS,HS,BRIER2,4949,0.051988053779780566
PRE2020,42,FHS|HS|BRIER5,FHS_VALUE,0.0017564104626692026,1.0,0.0001486847743184395,0.003996665230481187,-0.0004712350160624376,0.003984055941400843,FHS,HS,BRIER5,4949,0.0746655511320801
PRE2020,42,FHS|HS|DD_MSE,FHS_VALUE,9.291885800016639e-05,1.0,4.66765924574513e-05,0.00016303636554949703,2.3620333081229245e-05,0.00016221738291910353,FHS,HS,DD_MSE,4949,0.28580762313360697
GFC,42,FHS|HS|PINBALL,FHS_VALUE,0.0011639705870882412,1.0,-0.0002345128492607841,0.0030725473669018584,-0.0006913340657810931,0.0030192752399575756,FHS,HS,PINBALL,756,0.24611317278481434
GFC,42,FHS|HS|FZ0,FHS_VALUE,0.4810526841633071,1.0,-0.195916176632954,1.3883370966099897,-0.4042247719256172,1.3663301402522314,FHS,HS,FZ0,756,
GFC,42,FHS|HS|BRIER2,FHS_VALUE,0.01234525433760733,1.0,-0.0026279286458751666,0.03067521809970186,-0.005980461958995981,0.03067097063421064,FHS,HS,BRIER2,756,0.06732403682856208
GFC,42,FHS|HS|BRIER5,FHS_VALUE,0.00909530846708722,1.0,-0.0010587749810248561,0.022969093679045705,-0.004424545366776096,0.022615162300950536,FHS,HS,BRIER5,756,0.1523936578053166
GFC,42,FHS|HS|DD_MSE,FHS_VALUE,0.00030253517360999936,1.0,1.662951144746255e-05,0.0007364139245268719,-0.00011643651227871091,0.0007215068594987096,FHS,HS,DD_MSE,756,0.3862125987015769
2011,42,FHS|HS|PINBALL,FHS_VALUE,0.00018051816334520144,0.9994997498749375,-0.00023500877997811634,0.0005383828833901939,-0.0003061281774217226,0.0006671645041121256,FHS,HS,PINBALL,252,0.047413884026585675
2011,42,FHS|HS|FZ0,FHS_VALUE,0.08796496704028985,0.9994997498749375,-0.16692620977285444,0.30956623035327324,-0.21918061183833953,0.3951105459189192,FHS,HS,FZ0,252,
2011,42,FHS|HS|BRIER2,FHS_VALUE,0.005767312333545147,0.9994997498749375,-0.00216800113337295,0.015275051875131907,-0.005522770508353839,0.017057395175444134,FHS,HS,BRIER2,252,0.036617399877157945
2011,42,FHS|HS|BRIER5,FHS_VALUE,-0.00016472315682253472,0.9994997498749375,-0.002017969119058762,0.001093553381896818,-0.002216590367003004,0.0018871440533579345,FHS,HS,BRIER5,252,-0.0036071556832033293
2011,42,FHS|HS|DD_MSE,FHS_VALUE,6.697504645607354e-05,0.9994997498749375,-2.546620964730193e-05,0.0001987396642126085,-8.942691671192266e-05,0.00022337700962406974,FHS,HS,DD_MSE,252,0.14976429094677363
2015_2016,42,FHS|HS|PINBALL,FHS_VALUE,0.00014021124743588778,1.0,-0.00030608462187483703,0.0004819632735245985,-0.00031331647504180625,0.0005937389699135818,FHS,HS,PINBALL,504,0.05841725206586299
2015_2016,42,FHS|HS|FZ0,FHS_VALUE,0.08889689539965688,1.0,-0.2815205458207865,0.36190166004812124,-0.2941157445779915,0.4719095353773053,FHS,HS,FZ0,504,
2015_2016,42,FHS|HS|BRIER2,FHS_VALUE,0.0029904173041828764,1.0,-0.002605936590736702,0.008313620953132098,-0.0034997272831951065,0.009480561891560858,FHS,HS,BRIER2,504,0.03389182557753948
2015_2016,42,FHS|HS|BRIER5,FHS_VALUE,-0.0005141972842903437,1.0,-0.002088795853301716,0.0005254180789911581,-0.0020830920255750724,0.0010546974569943849,FHS,HS,BRIER5,504,-0.06267504936818816
2015_2016,42,FHS|HS|DD_MSE,FHS_VALUE,2.7102199346864146e-05,1.0,-1.2640656556842885e-05,6.033240844578881e-05,-1.4970326875081294e-05,6.917472556880958e-05,FHS,HS,DD_MSE,504,0.12861204560291908
2018Q4,42,FHS|HS|PINBALL,FHS_VALUE,-0.00014557390003736289,0.9234617308654327,,,,,FHS,HS,PINBALL,63,-0.03422495818453542
2018Q4,42,FHS|HS|FZ0,FHS_VALUE,-0.37307612875063084,0.9234617308654327,,,,,FHS,HS,FZ0,63,
2018Q4,42,FHS|HS|BRIER2,FHS_VALUE,0.0019278740496143476,0.9234617308654327,,,,,FHS,HS,BRIER2,63,0.005352069509139395
2018Q4,42,FHS|HS|BRIER5,FHS_VALUE,0.001986429810480303,0.9234617308654327,,,,,FHS,HS,BRIER5,63,0.03252976918047685
2018Q4,42,FHS|HS|DD_MSE,FHS_VALUE,1.547173624264891e-05,0.9234617308654327,,,,,FHS,HS,DD_MSE,63,0.027847457044888113
COVID,42,FHS|HS|PINBALL,FHS_VALUE,0.002970496338260426,0.9634817408704353,-0.0027151368449772474,0.016753989068653996,-0.008518535052442459,0.014459527728963311,FHS,HS,PINBALL,93,0.24772343625697074
COVID,42,FHS|HS|FZ0,FHS_VALUE,1.2026176024899087,0.9634817408704353,-1.288803986806618,5.95450472716851,-3.635260672318423,6.04049587729824,FHS,HS,FZ0,93,
COVID,42,FHS|HS|BRIER2,FHS_VALUE,0.005561491163010471,0.9634817408704353,-0.042942459791736665,0.10301526180582934,-0.07168092560756802,0.08280390793358895,FHS,HS,BRIER2,93,0.026195686493987378
COVID,42,FHS|HS|BRIER5,FHS_VALUE,0.009990373214092178,0.9634817408704353,-0.021510042173377465,0.0843048317327927,-0.05014874727442841,0.07012949370261276,FHS,HS,BRIER5,93,0.06937191595680933
