period,model,bucket_type,bucket,n,var_hit,ES_moment,actual_p2,pred_p2,actual_p5,pred_p5,actual_D,pred_D,actual_probability,predicted_probability
2024_PLUS,HS,RISK,LOW,290,0.006896551724137931,0.3570117070136817,0.04827586206896552,0.14409372592989644,0.0,0.02441153752440521,0.009386962075416812,0.016875281014708136,,
2024_PLUS,HS,RISK,MID,324,0.027777777777777776,0.06969979712680321,0.12037037037037036,0.14342056310470663,0.018518518518518517,0.024249354742979803,0.014974335820754936,0.01682859427505917,,
2024_PLUS,HS,RISK,HIGH,47,0.02127659574468085,0.3105315624553932,0.06382978723404255,0.14414237456926712,0.0,0.02423563894927717,0.016014556430015845,0.016851451037113913,,
2024_PLUS,HS,p2,0_0.01,0,,,,,,,,,,
2024_PLUS,HS,p2,0.01_0.05,0,,,,,,,,,,
2024_PLUS,HS,p2,0.05_0.1,0,,,,,,,,,,
2024_PLUS,HS,p2,0.1_0.2,661,,,,,,,,,0.08472012102874432,0.14376722325317773
2024_PLUS,HS,p2,0.2_1.000001,0,,,,,,,,,,
2024_PLUS,HS,p5,0_0.01,0,,,,,,,,,,
2024_PLUS,HS,p5,0.01_0.05,661,,,,,,,,,0.009077155824508321,0.024319533811526472
2024_PLUS,HS,p5,0.05_0.1,0,,,,,,,,,,
2024_PLUS,HS,p5,0.1_0.2,0,,,,,,,,,,
2024_PLUS,HS,p5,0.2_1.000001,0,,,,,,,,,,
2024_PLUS,FHS,RISK,LOW,290,0.041379310344827586,0.11588861445364637,0.04827586206896552,0.07326442072031918,0.0,0.004199691286879926,0.009386962075416812,0.010773413761515981,,
2024_PLUS,FHS,RISK,MID,324,0.043209876543209874,-0.015468020782173872,0.12037037037037036,0.14365056601888165,0.018518518518518517,0.017560743516045904,0.014974335820754936,0.01586992533315228,,
2024_PLUS,FHS,RISK,HIGH,47,0.0,0.30782933776356636,0.06382978723404255,0.239311714462246,0.0,0.08816118333446255,0.016014556430015845,0.029208658147998563,,
2024_PLUS,FHS,p2,0_0.01,0,,,,,,,,,,
2024_PLUS,FHS,p2,0.01_0.05,38,,,,,,,,,0.10526315789473684,0.041278985908954104
2024_PLUS,FHS,p2,0.05_0.1,223,,,,,,,,,0.04484304932735426,0.07500652139416361
2024_PLUS,FHS,p2,0.1_0.2,359,,,,,,,,,0.11142061281337047,0.1411511089365987
2024_PLUS,FHS,p2,0.2_1.000001,41,,,,,,,,,0.04878048780487805,0.24558078378190512
2024_PLUS,FHS,p5,0_0.01,346,,,,,,,,,0.0,0.004946726364668164
2024_PLUS,FHS,p5,0.01_0.05,280,,,,,,,,,0.02142857142857143,0.020455551891610208
2024_PLUS,FHS,p5,0.05_0.1,22,,,,,,,,,0.0,0.07832763049121655
2024_PLUS,FHS,p5,0.1_0.2,13,,,,,,,,,0.0,0.14529517434469114
2024_PLUS,FHS,p5,0.2_1.000001,0,,,,,,,,,,
EX_MAJOR_SHOCKS,HS,RISK,LOW,3043,0.010187315149523497,0.30440574195507974,0.07394019060138021,0.15813345331112114,0.0029576076240552087,0.026536078267232043,0.010179329188889084,0.018324433844016327,,
EX_MAJOR_SHOCKS,HS,RISK,MID,1761,0.0380465644520159,0.12688822629015298,0.14764338444065872,0.15875006955804827,0.018171493469619535,0.02676815294676208,0.015878922322866456,0.01838309716463915,,
EX_MAJOR_SHOCKS,HS,RISK,HIGH,697,0.09325681492109039,-0.3494448328012743,0.21233859397417504,0.1658864502304773,0.05738880918220947,0.02679905906851204,0.026235245571845353,0.019095578674584793,,
EX_MAJOR_SHOCKS,HS,p2,0_0.01,0,,,,,,,,,,
EX_MAJOR_SHOCKS,HS,p2,0.01_0.05,0,,,,,,,,,,
EX_MAJOR_SHOCKS,HS,p2,0.05_0.1,0,,,,,,,,,,
