period,block,contrast,family,point,valid_fraction,ci_low,ci_high,sim_low,sim_high,candidate,reference,score,n,fractional_gain
GFC,42,FHS|HS|BRIER2,FHS_VALUE,0.008675279544271835,1.0,-0.0016946036987418745,0.022548282012908046,-0.004620870093288921,0.02197142918183259,FHS,HS,BRIER2,756,0.04800991060628716
GFC,42,FHS|HS|BRIER5,FHS_VALUE,0.0067877280564017425,1.0,-0.001255469730342219,0.020050350488447582,-0.005638893007902353,0.01921434912070584,FHS,HS,BRIER5,756,0.09289569519497932
GFC,42,FHS|HS|DD_MSE,FHS_VALUE,0.00023875480257144578,1.0,9.321573283332148e-06,0.0006361354300878821,-0.00012843960584703543,0.000605949210989927,FHS,HS,DD_MSE,756,0.316072342796263
2011,42,FHS|HS|PINBALL,FHS_VALUE,0.0001648907508639073,0.9994997498749375,-0.00028446408372975014,0.0005388149268165175,-0.00039006724314593884,0.0007198487448737534,FHS,HS,PINBALL,252,0.04405857644894719
2011,42,FHS|HS|FZ0,FHS_VALUE,0.07629911033437314,0.9994997498749375,-0.18002838613086322,0.29167593507249384,-0.24380704009989357,0.39640526076863986,FHS,HS,FZ0,252,
2011,42,FHS|HS|BRIER2,FHS_VALUE,0.0019045358870798024,0.9994997498749375,-0.006073826420189573,0.010845424784673803,-0.009582386548419475,0.01339145832257908,FHS,HS,BRIER2,252,0.011142289435838108
2011,42,FHS|HS|BRIER5,FHS_VALUE,0.0015952088922124264,0.9994997498749375,0.00026715257252759043,0.0030274622344588454,-0.000244375336331608,0.0034347931207564606,FHS,HS,BRIER5,252,0.03035387679102962
2011,42,FHS|HS|DD_MSE,FHS_VALUE,3.136079440977804e-05,0.9994997498749375,-1.384924987223062e-05,8.761134295427708e-05,-3.60507309880895e-05,9.877231980764558e-05,FHS,HS,DD_MSE,252,0.0737121184099051
2015_2016,42,FHS|HS|PINBALL,FHS_VALUE,0.0001689417624391797,1.0,-0.0003773808623411259,0.0005734938196728682,-0.0004009856917676186,0.0007388692166459779,FHS,HS,PINBALL,504,0.055648834266236236
2015_2016,42,FHS|HS|FZ0,FHS_VALUE,0.0847354997537606,1.0,-0.26600374553306705,0.3466988338915918,-0.28476534314574603,0.45423634265326723,FHS,HS,FZ0,504,
2015_2016,42,FHS|HS|BRIER2,FHS_VALUE,-0.0014637669557574391,1.0,-0.007848415476002136,0.005237982404662938,-0.009277366804509293,0.006349832892994415,FHS,HS,BRIER2,504,-0.011665351790589635
2015_2016,42,FHS|HS|BRIER5,FHS_VALUE,-0.000538989950466992,1.0,-0.0038924477262556926,0.0015864681408394058,-0.00392398981995064,0.002846009919016656,FHS,HS,BRIER5,504,-0.024805540748990294
2015_2016,42,FHS|HS|DD_MSE,FHS_VALUE,3.4573551815964265e-06,1.0,-7.272516728825899e-05,5.908385756703123e-05,-7.738995890261904e-05,8.43046692658119e-05,FHS,HS,DD_MSE,504,0.009609987718609212
