period,model,bucket_type,bucket,n,var_hit,ES_moment,actual_p2,pred_p2,actual_p5,pred_p5,actual_D,pred_D,actual_probability,predicted_probability
COVID,FHS,p5,0.01_0.05,13,,,,,,,,,0.23076923076923078,0.033505601653246994
COVID,FHS,p5,0.05_0.1,33,,,,,,,,,0.0,0.07369401878397368
COVID,FHS,p5,0.1_0.2,24,,,,,,,,,0.25,0.14173932769330108
COVID,FHS,p5,0.2_1.000001,23,,,,,,,,,0.08695652173913043,0.2405102692454147
2022,HS,RISK,LOW,0,,,,,,,,,,
2022,HS,RISK,MID,116,0.1810344827586207,-0.5385896452760845,0.46551724137931033,0.17672816337391245,0.12931034482758622,0.03941576940591724,0.03748099929047955,0.020106859195764853,,
2022,HS,RISK,HIGH,135,0.15555555555555556,-0.8062180883395782,0.3333333333333333,0.17670517511468045,0.1259259259259259,0.0392356941118209,0.03789284161679545,0.020066719479041383,,
2022,HS,p2,0_0.01,0,,,,,,,,,,
2022,HS,p2,0.01_0.05,0,,,,,,,,,,
2022,HS,p2,0.05_0.1,0,,,,,,,,,,
2022,HS,p2,0.1_0.2,251,,,,,,,,,0.3944223107569721,0.17671579917073982
2022,HS,p2,0.2_1.000001,0,,,,,,,,,,
2022,HS,p5,0_0.01,0,,,,,,,,,,
2022,HS,p5,0.01_0.05,251,,,,,,,,,0.12749003984063745,0.03931891616008855
2022,HS,p5,0.05_0.1,0,,,,,,,,,,
2022,HS,p5,0.1_0.2,0,,,,,,,,,,
2022,HS,p5,0.2_1.000001,0,,,,,,,,,,
2022,FHS,RISK,LOW,0,,,,,,,,,,
2022,FHS,RISK,MID,116,0.1206896551724138,-0.41002381155820555,0.46551724137931033,0.22061750328801694,0.12931034482758622,0.061788957801385505,0.03748099929047955,0.024404946400135685,,
2022,FHS,RISK,HIGH,135,0.06666666666666667,0.015452468396612924,0.3333333333333333,0.26751785255352784,0.1259259259259259,0.1103558775906811,0.03789284161679545,0.03283495635572513,,
2022,FHS,p2,0_0.01,0,,,,,,,,,,
2022,FHS,p2,0.01_0.05,0,,,,,,,,,,
2022,FHS,p2,0.05_0.1,0,,,,,,,,,,
2022,FHS,p2,0.1_0.2,13,,,,,,,,,0.6923076923076923,0.18577143316337644
2022,FHS,p2,0.2_1.000001,238,,,,,,,,,0.37815126050420167,0.2491239993487913
2022,FHS,p5,0_0.01,0,,,,,,,,,,
2022,FHS,p5,0.01_0.05,28,,,,,,,,,0.32142857142857145,0.041181091775212064
2022,FHS,p5,0.05_0.1,129,,,,,,,,,0.07751937984496124,0.07588828455293559
2022,FHS,p5,0.1_0.2,94,,,,,,,,,0.13829787234042554,0.11832875853902167
2022,FHS,p5,0.2_1.000001,0,,,,,,,,,,
2023_PLUS,HS,RISK,LOW,268,0.014925373134328358,0.28011161645861743,0.11567164179104478,0.1785888229401268,0.011194029850746268,0.039074643071221216,0.013760514632611133,0.020244927536490275,,
2023_PLUS,HS,RISK,MID,578,0.0328719723183391,0.16515219820268914,0.17474048442906576,0.17879786205222092,0.020761245674740483,0.039104607652336566,0.019110923261022154,0.020248561101713677,,
2023_PLUS,HS,RISK,HIGH,65,0.015384615384615385,0.29168043040450736,0.1076923076923077,0.17875658708477207,0.015384615384615385,0.038562523528827296,0.020999977101669655,0.020184298822397865,,
2023_PLUS,HS,p2,0_0.01,0,,,,,,,,,,
2023_PLUS,HS,p2,0.01_0.05,0,,,,,,,,,,
