cash_mode,offset,cost_bps,period,rule,target,exposure_error,dynamic_mean,static_mean
PROXY,1,3,2023_PLUS,VOL,0.8994228473966359,5.029865413064272e-12,0.8995191653238173,0.8995191653187874
PROXY,1,3,2024_PLUS,VOL,0.8952602158606169,1.1765033391952784e-12,0.895376315052363,0.8953763150511865
PROXY,1,3,EX_MAJOR_SHOCKS,VOL,0.8875969331929809,5.695222071722128e-12,0.887684775082641,0.8876847750883362
PROXY,1,3,ALL,CORE_VOL,0.9222601852452499,2.432498646953718e-13,0.9222875423376179,0.9222875423378611
PROXY,1,3,DOTCOM,CORE_VOL,0.8159869038427132,2.4181767699360535e-12,0.8158013841677363,0.8158013841701545
PROXY,1,3,GFC,CORE_VOL,0.8358457721988088,5.4929394366354245e-12,0.8355868277156338,0.8355868277211267
PROXY,1,3,2011,CORE_VOL,0.8662836892253836,2.6173507805538065e-12,0.8662652337683711,0.8662652337709884
PROXY,1,3,2015_2016,CORE_VOL,0.9536081078622374,2.589040093425865e-12,0.9536045390151933,0.9536045390177823
PROXY,1,3,2018Q4,CORE_VOL,0.8565777393305325,3.2922553572234392e-12,0.8553036911367056,0.8553036911334133
PROXY,1,3,COVID,CORE_VOL,0.7130021668490372,4.998224056862455e-12,0.7125296897718995,0.7125296897768977
PROXY,1,3,2022,CORE_VOL,0.8153539723498398,6.960210185980031e-12,0.8151150821078896,0.8151150821009294
PROXY,1,3,2023_PLUS,CORE_VOL,0.9497550647574826,8.032463583163008e-13,0.9498054959942166,0.9498054959950198
PROXY,1,3,2024_PLUS,CORE_VOL,0.9476857690679026,2.7452484729906246e-12,0.94774669893928,0.9477466989365347
PROXY,1,3,EX_MAJOR_SHOCKS,CORE_VOL,0.9438150280257105,6.403988450642828e-12,0.9438612527717716,0.9438612527653676
PROXY,2,0,ALL,VOL,0.8466030653144117,5.1697535141670414e-12,0.8466623286629389,0.8466623286577691
PROXY,2,0,DOTCOM,VOL,0.6230530300890678,7.380762667708041e-13,0.622810324036442,0.6228103240357039
PROXY,2,0,GFC,VOL,0.6706098827489768,1.003530591958679e-12,0.6702300279687011,0.6702300279676976
PROXY,2,0,2011,VOL,0.7421455071380478,1.972200180944128e-12,0.7418979671263709,0.7418979671283431
PROXY,2,0,2015_2016,VOL,0.9103852514890605,2.2261081866759014e-12,0.9104630913837948,0.9104630913860209
PROXY,2,0,2018Q4,VOL,0.7147620860705501,6.227240945122503e-12,0.7145351886765501,0.7145351886827773
PROXY,2,0,COVID,VOL,0.42626263786951313,7.929212841872868e-13,0.4268370294866245,0.4268370294874174
PROXY,2,0,2022,VOL,0.6368068137890077,1.784017378270164e-12,0.6359991996453975,0.6359991996436135
PROXY,2,0,2023_PLUS,VOL,0.9013864571825252,2.802202914153895e-13,0.9015390228245522,0.901539022824272
PROXY,2,0,2024_PLUS,VOL,0.8979229426840902,4.652944696204031e-12,0.8980522645667116,0.8980522645620587
PROXY,2,0,EX_MAJOR_SHOCKS,VOL,0.8899710496261832,4.2691405965911144e-12,0.8900642159752329,0.890064215979502
PROXY,2,0,ALL,CORE_VOL,0.9232884722659946,4.894529226362465e-12,0.9233195548267982,0.9233195548219036
PROXY,2,0,DOTCOM,CORE_VOL,0.8115782147724531,8.029132914089132e-13,0.8114069296621703,0.8114069296613674
PROXY,2,0,GFC,CORE_VOL,0.8351722478182637,3.779199175824033e-13,0.8349247139978537,0.8349247139974758
PROXY,2,0,2011,CORE_VOL,0.8710407269754796,3.397504499957904e-12,0.8708894819821179,0.8708894819855154
PROXY,2,0,2015_2016,CORE_VOL,0.9552006255762535,5.224376486978599e-12,0.9552412190857429,0.9552412190909673
PROXY,2,0,2018Q4,CORE_VOL,0.8574473811531789,3.985700658404312e-13,0.8573067371913986,0.857306737191
PROXY,2,0,COVID,CORE_VOL,0.7133824412667309,6.387335105273451e-12,0.7137889635288374,0.7137889635352247
PROXY,2,0,2022,CORE_VOL,0.8185106226374046,1.82620585320592e-12,0.817978603845931,0.8179786038441048
PROXY,2,0,2023_PLUS,CORE_VOL,0.9506978010977036,4.077183035633425e-12,0.9507778961240213,0.9507778961280985
PROXY,2,0,2024_PLUS,CORE_VOL,0.9489609968222794,5.362377208939506e-14,0.9490289336574788,0.9490289336575324
PROXY,2,0,EX_MAJOR_SHOCKS,CORE_VOL,0.9449911889169016,4.880873483159576e-12,0.9450401887748111,0.945040188779692
PROXY,2,1,ALL,VOL,0.8466030653144117,5.169420447259654e-12,0.8466623286629388,0.8466623286577694
PROXY,2,1,DOTCOM,VOL,0.6230530300890678,7.380762667708041e-13,0.622810324036442,0.6228103240357039
PROXY,2,1,GFC,VOL,0.6706098827489768,1.0036416142611415e-12,0.6702300279687011,0.6702300279676975
PROXY,2,1,2011,VOL,0.7421455071380478,1.9720891586416656e-12,0.7418979671263709,0.741897967128343
PROXY,2,1,2015_2016,VOL,0.9103852514890605,2.226219208978364e-12,0.9104630913837947,0.9104630913860209
PROXY,2,1,2018Q4,VOL,0.7147620860705501,6.2271299228200405e-12,0.7145351886765501,0.7145351886827772
PROXY,2,1,COVID,VOL,0.42626263786951313,7.928657730360555e-13,0.4268370294866245,0.42683702948741736
